date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:43:45	7779/7779	---MCZ	200	added ('OK')	text/javascript	etag:W/%22a61f7fd0a07a32200e8f11528d15d77f%22	https://cdn.prod.website-files.com/gsap/3.14.2/SplitText.min.js	C:/Users/Nikhil%20Nectar/Desktop/LeKHI%20TUTORIAL/cdn.prod.website-files.com/gsap/3.14.2/SplitText.min.js	(from https://fooror.com/en-us)
21:43:46	4549/4549	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2001%20Apr%202026%2016:13:46%20GMT	https://fooror.com/href,%20window.location.href	C:/Users/Nikhil%20Nectar/Desktop/LeKHI%20TUTORIAL/fooror.com/href,%20window.location.href	(from https://fooror.com/en-us)
21:43:46	4549/4549	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2001%20Apr%202026%2016:13:46%20GMT	https://fooror.com/window.location.href	C:/Users/Nikhil%20Nectar/Desktop/LeKHI%20TUTORIAL/fooror.com/window.location.href	(from https://fooror.com/en-us)
21:43:46	191/191	---MCZ	200	added ('OK')	text/css	date:Mon,%2026%20Jan%202026%2020:08:39%20GMT	https://unpkg.com/lenis@1.2.3/dist/lenis.css	C:/Users/Nikhil%20Nectar/Desktop/LeKHI%20TUTORIAL/unpkg.com/lenis@1.2.3/dist/lenis.css	(from https://fooror.com/en-us)
21:43:47	14348/14348	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2019%20Jan%202026%2014:59:42%20GMT	https://unpkg.com/lenis@1.2.3/dist/lenis.min.js	C:/Users/Nikhil%20Nectar/Desktop/LeKHI%20TUTORIAL/unpkg.com/lenis@1.2.3/dist/lenis.min.js	(from https://fooror.com/en-us)
21:43:47	28328/28328	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Mar%202026%2010:58:45%20GMT	https://fooror.com/uk-ua/contacts	C:/Users/Nikhil%20Nectar/Desktop/LeKHI%20TUTORIAL/fooror.com/uk-ua/contacts.html	(from https://fooror.com/uk-ua)
21:43:48	33609/33609	---MCZ	200	added ('OK')	text/html	date:Sun,%2029%20Mar%202026%2021:09:50%20GMT	https://fooror.com/uk-ua/projects	C:/Users/Nikhil%20Nectar/Desktop/LeKHI%20TUTORIAL/fooror.com/uk-ua/projects.html	(from https://fooror.com/uk-ua)
21:43:48	23680/23680	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Mar%202026%2006:08:29%20GMT	https://fooror.com/uk-ua/consultation	C:/Users/Nikhil%20Nectar/Desktop/LeKHI%20TUTORIAL/fooror.com/uk-ua/consultation.html	(from https://fooror.com/uk-ua)
21:43:49	39880/39880	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Mar%202026%2003:20:47%20GMT	https://fooror.com/uk-ua/pricing	C:/Users/Nikhil%20Nectar/Desktop/LeKHI%20TUTORIAL/fooror.com/uk-ua/pricing.html	(from https://fooror.com/uk-ua)
21:43:49	32120/32120	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Mar%202026%2023:27:28%20GMT	https://fooror.com/uk-ua/privacy-policy	C:/Users/Nikhil%20Nectar/Desktop/LeKHI%20TUTORIAL/fooror.com/uk-ua/privacy-policy.html	(from https://fooror.com/uk-ua)
21:43:51	29634/29634	---MCZ	200	added ('OK')	text/css	etag:W/%221181648114a340f052f6f68c78a9edd4%22	https://cdn.prod.website-files.com/6916200346ddd8428d3d953b/css/fooror-events.webflow.693ecf9e3a0d8f97b1333509-b4c60c8fb.min.css	C:/Users/Nikhil%20Nectar/Desktop/LeKHI%20TUTORIAL/cdn.prod.website-files.com/6916200346ddd8428d3d953b/css/fooror-events.webflow.693ecf9e3a0d8f97b1333509-b4c60c8fb.min.css	(from https://fooror.com/en-us/contacts)
21:43:51	4503/4503	---MCZ	200	added ('OK')	text/javascript	etag:W/%22f40a09b213c93c914fda257a957c3743%22	https://cdn.prod.website-files.com/6916200346ddd8428d3d953b/js/webflow.b8dcd45a.ce2fdae3fc037045.js	C:/Users/Nikhil%20Nectar/Desktop/LeKHI%20TUTORIAL/cdn.prod.website-files.com/6916200346ddd8428d3d953b/js/webflow.b8dcd45a.ce2fdae3fc037045.js	(from https://fooror.com/en-us/contacts)
21:43:51	4549/4549	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2001%20Apr%202026%2016:13:52%20GMT	https://fooror.com/en-us/href,%20window.location.href	C:/Users/Nikhil%20Nectar/Desktop/LeKHI%20TUTORIAL/fooror.com/en-us/href,%20window.location.href	(from https://fooror.com/en-us/contacts)
21:43:52	4549/4549	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2001%20Apr%202026%2016:13:52%20GMT	https://fooror.com/en-us/window.location.href	C:/Users/Nikhil%20Nectar/Desktop/LeKHI%20TUTORIAL/fooror.com/en-us/window.location.href	(from https://fooror.com/en-us/contacts)
21:43:53	33745/33745	---MCZ	200	added ('OK')	text/css	etag:W/%229bce54ac50f0b90ccaf33a308989f59e%22	https://cdn.prod.website-files.com/6916200346ddd8428d3d953b/css/fooror-events.webflow.6940110e03a0f525bd0a98d8-26ff3e933.min.css	C:/Users/Nikhil%20Nectar/Desktop/LeKHI%20TUTORIAL/cdn.prod.website-files.com/6916200346ddd8428d3d953b/css/fooror-events.webflow.6940110e03a0f525bd0a98d8-26ff3e933.min.css	(from https://fooror.com/en-us/projects)
21:43:53	4504/4504	---MCZ	200	added ('OK')	text/javascript	etag:W/%22bb7cebb6575ea887314b82173d1b43c9%22	https://cdn.prod.website-files.com/6916200346ddd8428d3d953b/js/webflow.4fb2d19e.8fc912c9c83b541d.js	C:/Users/Nikhil%20Nectar/Desktop/LeKHI%20TUTORIAL/cdn.prod.website-files.com/6916200346ddd8428d3d953b/js/webflow.4fb2d19e.8fc912c9c83b541d.js	(from https://fooror.com/en-us/projects)
21:43:54	31372/31372	---MCZ	200	added ('OK')	text/css	etag:W/%220fbf6b8039b9b73b587baa972ca993ad%22	https://cdn.prod.website-files.com/6916200346ddd8428d3d953b/css/fooror-events.webflow.693d3de2ba49429a768ed89f-a383c5889.min.css	C:/Users/Nikhil%20Nectar/Desktop/LeKHI%20TUTORIAL/cdn.prod.website-files.com/6916200346ddd8428d3d953b/css/fooror-events.webflow.693d3de2ba49429a768ed89f-a383c5889.min.css	(from https://fooror.com/en-us/consultation)
21:43:55	4590/4590	---MCZ	200	added ('OK')	text/javascript	etag:W/%22595dc230ee672bfc8990944bd11360a6%22	https://cdn.prod.website-files.com/6916200346ddd8428d3d953b/js/webflow.e79b8f1e.ea97f499600d094c.js	C:/Users/Nikhil%20Nectar/Desktop/LeKHI%20TUTORIAL/cdn.prod.website-files.com/6916200346ddd8428d3d953b/js/webflow.e79b8f1e.ea97f499600d094c.js	(from https://fooror.com/en-us/consultation)
21:43:55	37318/37318	---MCZ	200	added ('OK')	text/css	etag:W/%22d060febabb92e3d4da030937f4ca0487%22	https://cdn.prod.website-files.com/6916200346ddd8428d3d953b/css/fooror-events.webflow.693c4e4213cb9a7eed40a3de-7815f89b6.min.css	C:/Users/Nikhil%20Nectar/Desktop/LeKHI%20TUTORIAL/cdn.prod.website-files.com/6916200346ddd8428d3d953b/css/fooror-events.webflow.693c4e4213cb9a7eed40a3de-7815f89b6.min.css	(from https://fooror.com/en-us/pricing)
21:43:56	4504/4504	---MCZ	200	added ('OK')	text/javascript	etag:W/%22a59f70e12c6abf948337420b902b41f0%22	https://cdn.prod.website-files.com/6916200346ddd8428d3d953b/js/webflow.717498eb.dd06dce20d6e24cd.js	C:/Users/Nikhil%20Nectar/Desktop/LeKHI%20TUTORIAL/cdn.prod.website-files.com/6916200346ddd8428d3d953b/js/webflow.717498eb.dd06dce20d6e24cd.js	(from https://fooror.com/en-us/pricing)
21:43:57	4549/4549	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2001%20Apr%202026%2016:13:57%20GMT	https://fooror.com/uk-ua/href,%20window.location.href	C:/Users/Nikhil%20Nectar/Desktop/LeKHI%20TUTORIAL/fooror.com/uk-ua/href,%20window.location.24.delayed	(from https://fooror.com/uk-ua/contacts)
21:43:57	4549/4549	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2001%20Apr%202026%2016:13:57%20GMT	https://fooror.com/uk-ua/window.location.href	C:/Users/Nikhil%20Nectar/Desktop/LeKHI%20TUTORIAL/fooror.com/uk-ua/window.location.href	(from https://fooror.com/uk-ua/contacts)
21:43:57	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2001%20Apr%202026%2016:13:57%20GMT	https://fooror.com/en-us/privacy-policy	C:/Users/Nikhil%20Nectar/Desktop/LeKHI%20TUTORIAL/fooror.com/en-us/privacy-policy.html	(from https://fooror.com/en-us)
21:43:58	31591/31591	---MCZ	200	added ('OK')	text/css	etag:W/%2295b7d1875da2184b69d98a1fa505948f%22	https://cdn.prod.website-files.com/6916200346ddd8428d3d953b/css/fooror-events.webflow.6966180fb0d05f02ec35c103-f3dc182cb.min.css	C:/Users/Nikhil%20Nectar/Desktop/LeKHI%20TUTORIAL/cdn.prod.website-files.com/6916200346ddd8428d3d953b/css/fooror-events.webflow.6966180fb0d05f02ec35c103-f3dc182cb.min.css	(from https://fooror.com/uk-ua/privacy-policy)
21:43:59	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2001%20Apr%202026%2016:13:59%20GMT	https://fooror.com/en-us/privacy-policy	C:/Users/Nikhil%20Nectar/Desktop/LeKHI%20TUTORIAL/fooror.com/en-us/privacy-policy.html	(from https://fooror.com/en-us)
21:43:59	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2001%20Apr%202026%2016:13:59%20GMT	https://fooror.com/	C:/Users/Nikhil%20Nectar/Desktop/LeKHI%20TUTORIAL/fooror.com/index.html	(from https://fooror.com/uk-ua/privacy-policy)
21:43:59	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2001%20Apr%202026%2016:13:59%20GMT	https://fooror.com/	C:/Users/Nikhil%20Nectar/Desktop/LeKHI%20TUTORIAL/fooror.com/index.html	(from https://fooror.com/uk-ua/privacy-policy)
21:44:00	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2001%20Apr%202026%2016:14:00%20GMT	https://fooror.com/	C:/Users/Nikhil%20Nectar/Desktop/LeKHI%20TUTORIAL/fooror.com/index.html	(from https://fooror.com/uk-ua/privacy-policy)
